HP_name;PlotID_2;PAG;Precision;Center_x_coordinate;Center_y_coordinate;Date;Year;Canton;Municipality;Altitude_original;Species_richness;SqFt_ID;F;R;N;L;T;K;Nr_cuts;Nr_cuts_before_record;Soil;Content_of_Ca;Bedrock;Light_cond;Water_balance;Inclination;Exposition;Fertil_y_n;Fertil_frequ;Fertil_type;Fertil_treatment;Land_use;Land_use_2;Grazing_animal;EUNIS_class;EUNIS_habitat name;Type_of_classification;Total_biomass;vegetation type;Class (Mucina et al. 2016);Order (Mucina et al. 2016)
HP_486;486;485;1842.049773;8.449348832;47.39469053;2488;1906;ZH;Schlieren;395;16;486;3.076923077;3.142857143;3.538461538;3.428571429;3.346153846;3.076923077;;;;;;;;;;;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;36.617;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_487;487;485;1842.049773;8.449348832;47.39469053;2699;1907;ZH;Schlieren;395;23;487;3.022727273;3.130434783;3.363636364;3.565217391;3.238095238;3.181818182;;;;;;;;;;;;;;pasture;pasture;;R22; Low and medium altitude hay meadow;1;22.02;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_488;488;485;1842.049773;8.449348832;47.39469053;2488;1906;ZH;Schlieren;395;18;488;2.966666667;3.0625;3.466666667;3.625;3.192307692;3.142857143;;;;;;;;;;;;;;pasture;pasture;;R22; Low and medium altitude hay meadow;1;26.589;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_489;489;489;157.5369003;8.33353098;47.41786161;180;1900;AG;Spreitenbach;650;8;489;2.714285714;2.625;2.714285714;3;3.416666667;3.333333333;;;stony loam;;;;;;;no;;;;forest meadow;meadow;;R51; Thermophilous forest fringe of base-rich soils;1;37.597;E.1 Tall forb communities;Trifolio-Geranietea sanguinei;
HP_490;490;489;157.5369003;8.33353098;47.41786161;180;1900;AG;Spreitenbach;650;7;490;3.142857143;2.428571429;2.857142857;2.714285714;3.357142857;3.285714286;;;sandy loam;;;;;;;no;;;;forest meadow;meadow;;;;;15.812;;;
HP_491;491;491;1063.879422;8.474718274;47.54712084;4685;1912;ZH;Stadel;;11;491;3.1875;3;3.375;3.75;3.125;2.75;;;;;;;;;;;;;;;;;R21; Mesic permanent pasture of lowlands and mountains;2;31.885;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_492;492;491;1063.879422;8.474718274;47.54712084;4685;1912;ZH;Stadel;;12;492;2.944444444;2.888888889;3.555555556;3.777777778;3.1875;3;;;;;;;;;;;;;;;;;R21; Mesic permanent pasture of lowlands and mountains;1;28.96;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_493;493;493;757.135209;8.465904614;47.49139314;29.06.1895;1895;ZH;Steinmaur;425;24;493;3.369565217;3.347826087;3.391304348;3.375;3.30952381;3;;;good clay, impermeable bedrock;2;;;;;;;;;;litter meadow;meadow;;R;;1;62.934;;;
HP_494;494;494;902.7625376;8.710699911;47.32996458;18.05.1895;1895;ZH;Uster;445;41;494;2.802631579;3.358974359;2.789473684;3.65;3.397058824;3.138888889;;;loam;1;;;quite dry;;;;;;;litter meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;24.581;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_495;495;494;902.7625376;8.710699911;47.32996458;20.05.1895;1895;ZH;Uster;445;6;495;4.166666667;3.333333333;3.5;3;3.666666667;2.833333333;;;sludge;2;;;;;;;;;;litter meadow;meadow;;Q53; Tall-sedge bed;1;91.313;C.5 Reed beds and shore vegetation ;Phragmito-Magnocaricetea;Magnocaricetalia
HP_496;496;496;774.5367236;8.645291574;47.24722465;07.10.1893;1893;ZH;Wädenswil;412;3;496;4.833333333;3;3.333333333;3.666666667;3.5;2.666666667;0;;gravel;;;;waterlogged;;;no;;;;litter meadow;meadow;;Q51; Tall-helophyte bed;1;738.015;C.5 Reed beds and shore vegetation ;Phragmito-Magnocaricetea;
HP_497;497;497;38.15697906;8.641772925;47.24730394;08.10.1893;1893;ZH;Wädenswil;412;13;497;3.692307692;3.166666667;2.384615385;3.692307692;2.961538462;3.076923077;;1. cut;boggy loam, quite acid;2;;;wet;;;no;;;;litter meadow;meadow;;Q43;;1;41.776;C.6 Mires and springs ;Scheuchzerio palustris-Caricetea fuscae;Caricetalia davallianae
HP_498;498;498;282.3425937;8.667083354;47.22434722;17.05.1886;1886;ZH;Wädenswil;490;4;498;3.625;3.75;4;3;3.166666667;2.333333333;4;;mild, deep glacial loam;1;;;humid;8;NE;yes;2-3 per year;slurry;;meadow;meadow;;R55; Lowland moist or wet tall-herb and fern fringe;1;82.964;E.2 Ruderal communities/E.1 Tall forb communities;;
HP_499;499;499;48.3187729;8.639218995;47.24778434;08.10.1893;1893;ZH;Wädenswil;412;21;499;3.666666667;3.35;2.714285714;3.619047619;3.023809524;3;;;loam;2;;;;;;no;;;;litter meadow;meadow;;;;;34.858;;;
HP_500;500;500;45.51900747;8.641256417;47.24731813;07.10.1893;1893;ZH;Wädenswil;412;9;500;4.0625;3.571428571;2;3.875;2.8125;3.125;;1. cut;boggy loam;2;;;;;;;;;;litter meadow;meadow;;Q43; Tall-sedge base-rich fen;1;45.468;C.6 Mires and springs ;Scheuchzerio palustris-Caricetea fuscae;Caricetalia davallianae
HP_501;501;501;45.93344981;8.63800754;47.248526;07.10.1893;1893;ZH;Wädenswil;412;6;501;3.833333333;3.4;2.666666667;3.666666667;3.083333333;3;;1. cut;loam;2;;;wet, marshy;;;no;;;;litter meadow;meadow;;;;1;52.608;;;
HP_502;502;502;190.9138582;8.75346206;47.35814739;07.06.1886;1886;ZH;Wermatswil;570;19;502;3.166666667;3.166666667;3.722222222;3.888888889;3.25;2.833333333;;;;;;;;;;;;;;alternating meadow;meadow;;R22; Low and medium altitude hay meadow;3;77.106;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_503;503;503;801.3963101;8.748264613;47.36272586;07.06.1886;1886;ZH;Wermatswil;570;26;503;2.94;3.12;3.4;3.8;3.347826087;3.04;2;;humic loam;;diluvium;;fresh;;;yes;once per year;manure or slurry;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;48.592;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_504;504;503;801.3963101;8.748264613;47.36272586;07.06.1886;1886;ZH;Wermatswil;570;29;504;2.944444444;3.071428571;3.37037037;3.75;3.32;2.962962963;;;mild loam;;molasse;;fresh;;;yes;;manure and slurry;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;46.486;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_505;505;505;270.7443694;8.803185164;47.31493601;03.07.1895;1895;ZH;Wetzikon;535;10;505;3.833333333;3.375;2.444444444;3.888888889;2.833333333;3.111111111;;;20cm boggy clay, then wet fault gouge;2;;;;;;;;;;litter meadow;meadow;;;;1;17.305;;;
